reg;jour;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
01;2020-05-13;0;0;0;19979;20155;09;40134
01;2020-05-13;0;0;0;24994;25489;19;50483
01;2020-05-13;0;0;0;17868;16690;29;34558
01;2020-05-13;0;0;0;22328;14821;39;37149
01;2020-05-13;0;0;0;28652;20276;49;48928
01;2020-05-13;0;0;0;33264;27260;59;60524
01;2020-05-13;0;0;0;27135;23978;69;51113
01;2020-05-13;0;0;0;18401;14661;79;33062
01;2020-05-13;0;0;0;9633;6375;89;16008
01;2020-05-13;0;0;0;3410;1510;90;4920
01;2020-05-13;0;0;0;205664;171215;0;376879
02;2020-05-13;0;0;0;16881;17110;09;33991
02;2020-05-13;0;0;0;21410;21604;19;43014
02;2020-05-13;0;0;0;16017;15479;29;31496
02;2020-05-13;0;0;0;19825;14455;39;34280
02;2020-05-13;1;0;1;24719;18248;49;42967
02;2020-05-13;0;2;2;34361;28310;59;62671
02;2020-05-13;1;0;1;28061;24495;69;52556
02;2020-05-13;0;0;0;18231;15278;79;33509
02;2020-05-13;0;0;0;11090;7677;89;18767
02;2020-05-13;0;0;0;3992;1506;90;5498
02;2020-05-13;2;2;4;194587;164162;0;358749
03;2020-05-13;0;0;0;31123;30920;09;62043
03;2020-05-13;0;0;0;29370;29268;19;58638
03;2020-05-13;0;0;0;21458;18963;29;40421
03;2020-05-13;0;0;0;21276;18326;39;39602
03;2020-05-13;0;0;0;18164;16593;49;34757
03;2020-05-13;0;0;0;13469;13557;59;27026
03;2020-05-13;0;0;0;8776;8670;69;17446
03;2020-05-13;0;0;0;3777;3591;79;7368
03;2020-05-13;0;0;0;1649;1072;89;2721
03;2020-05-13;0;0;0;485;184;90;669
03;2020-05-13;0;0;0;149547;141144;0;290691
04;2020-05-13;0;0;0;60314;61377;09;121691
04;2020-05-13;0;0;0;66065;68387;19;134452
04;2020-05-13;1;0;1;51059;47156;29;98215
04;2020-05-13;0;0;0;58788;45780;39;104568
04;2020-05-13;0;0;0;61408;52207;49;113615
04;2020-05-13;0;0;0;64838;60759;59;125597
04;2020-05-13;0;0;0;47008;42843;69;89851
04;2020-05-13;0;0;0;25509;21184;79;46693
04;2020-05-13;0;0;0;13168;7647;89;20815
04;2020-05-13;0;0;0;3209;1253;90;4462
04;2020-05-13;1;0;1;451366;408593;0;859959
05;2020-05-13;0;0;0;362.366008612902;341.338819562748;09;703.704828175651
05;2020-05-13;0;0;0;353.376145114279;370.349735405642;19;723.725880519921
05;2020-05-13;0;0;0;218.593559489256;256.539602589476;29;475.133162078732
05;2020-05-13;0;0;0;404.225408693299;360.321910454353;39;764.547319147651
05;2020-05-13;0;0;0;520.067953604221;497.108383964256;49;1017.17633756848
05;2020-05-13;0;0;0;468.146063921917;510.087601910415;59;978.233665832332
05;2020-05-13;0;0;0;340.368470050554;334.366842191253;69;674.735312241807
05;2020-05-13;0;0;0;212.598666888387;192.597753227106;79;405.196420115493
05;2020-05-13;0;0;0;148.727797095705;61.8681715431829;89;210.595968638888
05;2020-05-13;0;0;0;32.9601271090696;10.9909785719784;90;43.9511056810479
05;2020-05-13;0;0;0;3061.43020057959;2935.56979942041;0;5997
06;2020-05-13;0;0;0;42583;42380;09;84963
06;2020-05-13;1;0;1;33369;31925;19;65294
06;2020-05-13;1;1;2;21571;15080;29;36651
06;2020-05-13;0;1;1;21550;16147;39;37697
06;2020-05-13;0;1;1;14193;13939;49;28132
06;2020-05-13;0;3;3;7171;7597;59;14768
06;2020-05-13;0;1;1;3629;4117;69;7746
06;2020-05-13;0;0;0;1577;1457;79;3034
06;2020-05-13;0;0;0;531;474;89;1005
06;2020-05-13;0;0;0;88;93;90;181
06;2020-05-13;2;7;9;146262;133209;0;279471
07;2020-05-13;0;0;0;485;549;09;1034
07;2020-05-13;0;0;0;403;432;19;835
07;2020-05-13;0;0;0;764;841;29;1605
07;2020-05-13;0;0;0;824;928;39;1752
07;2020-05-13;0;0;0;788;1020;49;1808
07;2020-05-13;0;0;0;678;870;59;1548
07;2020-05-13;0;0;0;360;382;69;742
07;2020-05-13;0;0;0;231;190;79;421
07;2020-05-13;0;0;0;114;67;89;181
07;2020-05-13;0;0;0;24;11;90;35
07;2020-05-13;0;0;0;4671;5290;0;9961
08;2020-05-13;0;0;0;2715.22592983026;2997.75551488675;09;5712.98144471701
08;2020-05-13;0;0;0;2778.51901080978;3160.9156459093;19;5939.43465671908
08;2020-05-13;0;0;0;2080.8882988764;1718.16634315323;29;3799.05464202964
08;2020-05-13;0;0;0;2701.8582062647;1896.52641413317;39;4598.38462039786
08;2020-05-13;0;0;0;3151.45861023308;2460.52498233809;49;5611.98359257117
08;2020-05-13;0;0;0;2620.29868333099;2422.23566154656;59;5042.53434487755
08;2020-05-13;0;0;0;1621.44173420671;1438.58325779464;69;3060.02499200135
08;2020-05-13;0;0;0;626.575909335673;526.358467843651;79;1152.93437717932
08;2020-05-13;0;0;0;205.018522985054;140.993639349697;89;346.012162334751
08;2020-05-13;0;0;0;50.0325684687745;20.62259870351;90;70.6551671722846
08;2020-05-13;0;0;0;18551.3174743414;16782.6825256586;0;35334
11;2020-05-13;2;3;5;783071;811785;09;1594856
11;2020-05-13;5;3;8;761456;784653;19;1546109
11;2020-05-13;18;11;29;850145;801772;29;1651917
11;2020-05-13;20;14;34;914360;843488;39;1757848
11;2020-05-13;21;14;35;845609;826202;49;1671811
11;2020-05-13;15;20;35;793566;745070;59;1538636
11;2020-05-13;12;23;37;628649;549192;69;1177841
11;2020-05-13;9;17;26;434606;358356;79;792962
11;2020-05-13;24;9;33;261425;162933;89;424358
11;2020-05-13;36;5;41;89253;32619;90;121872
11;2020-05-13;162;119;283;6362140;5916070;0;12278210
24;2020-05-13;0;0;0;139720;144686;09;284406
24;2020-05-13;1;0;1;152979;161185;19;314164
24;2020-05-13;4;1;5;122237;126536;29;248773
24;2020-05-13;3;2;5;150359;142009;39;292368
24;2020-05-13;2;1;3;161829;158758;49;320587
24;2020-05-13;2;2;4;172552;168011;59;340563
24;2020-05-13;3;0;3;172509;158177;69;330686
24;2020-05-13;0;3;3;129428;110593;79;240021
24;2020-05-13;0;3;3;87342;56882;89;144224
24;2020-05-13;3;0;3;31210;12071;90;43281
24;2020-05-13;18;12;30;1320165;1238908;0;2559073
27;2020-05-13;0;0;0;143373;149679;09;293052
27;2020-05-13;1;0;1;160962;173003;19;333965
27;2020-05-13;0;1;1;133746;142254;29;276000
27;2020-05-13;1;0;1;160004;155407;39;315411
27;2020-05-13;1;2;3;172333;169564;49;341897
27;2020-05-13;0;0;0;189979;183788;59;373767
27;2020-05-13;1;2;3;192591;178206;69;370797
27;2020-05-13;4;1;5;146876;127546;79;274422
27;2020-05-13;2;0;2;96896;61575;89;158471
27;2020-05-13;0;3;3;33148;12109;90;45257
27;2020-05-13;11;9;20;1429908;1353131;0;2783039
28;2020-05-13;0;0;0;180735;186856;09;367591
28;2020-05-13;2;1;3;200125;213621;19;413746
28;2020-05-13;1;4;5;168922;173007;29;341929
28;2020-05-13;1;1;2;196628;188487;39;385115
28;2020-05-13;2;1;3;205396;201699;49;407095
28;2020-05-13;3;4;7;222002;213866;59;435868
28;2020-05-13;0;0;0;224688;203758;69;428446
28;2020-05-13;1;1;2;163192;135543;79;298735
28;2020-05-13;3;2;5;109691;65377;89;175068
28;2020-05-13;7;2;9;37222;12685;90;49907
28;2020-05-13;21;16;37;1708601;1594899;0;3303500
32;2020-05-13;0;0;0;358062;373689;09;731751
32;2020-05-13;2;0;2;387045;406742;19;793787
32;2020-05-13;4;0;4;342304;348587;29;690891
32;2020-05-13;9;4;13;382485;369972;39;752457
32;2020-05-13;1;8;9;382510;376716;49;759226
32;2020-05-13;1;4;5;386937;376527;59;763464
32;2020-05-13;6;9;15;371211;330938;69;702149
32;2020-05-13;4;5;9;250542;201459;79;452001
32;2020-05-13;7;5;12;163399;89786;89;253185
32;2020-05-13;5;3;8;48384;15367;90;63751
32;2020-05-13;41;39;80;3072879;2889783;0;5962662
44;2020-05-13;2;2;4;291525;306839;09;598364
44;2020-05-13;4;2;6;320255;339504;19;659759
44;2020-05-13;9;6;15;302020;314428;29;616448
44;2020-05-13;13;7;20;342222;333292;39;675514
44;2020-05-13;10;2;12;349727;344491;49;694218
44;2020-05-13;17;9;26;381371;373239;59;754610
44;2020-05-13;7;10;17;367165;335850;69;703015
44;2020-05-13;4;7;11;250387;215436;79;465823
44;2020-05-13;19;8;27;170825;105192;89;276017
44;2020-05-13;9;4;13;51248;16731;90;67979
44;2020-05-13;94;57;151;2826745;2685002;0;5511747
52;2020-05-13;0;0;0;213594;223900;09;437494
52;2020-05-13;0;0;0;240818;255197;19;496015
52;2020-05-13;3;0;3;197010;200630;29;397640
52;2020-05-13;1;0;1;231204;224885;39;456089
52;2020-05-13;4;0;4;243874;243418;49;487292
52;2020-05-13;1;0;1;244100;239116;59;483216
52;2020-05-13;1;1;2;241796;221345;69;463141
52;2020-05-13;2;1;3;177805;149903;79;327708
52;2020-05-13;5;1;6;119561;75822;89;195383
52;2020-05-13;2;0;2;42559;15260;90;57819
52;2020-05-13;19;3;22;1952321;1849476;0;3801797
53;2020-05-13;2;0;2;173813;182358;09;356171
53;2020-05-13;1;0;1;202720;214740;19;417460
53;2020-05-13;0;0;0;163116;173196;29;336312
53;2020-05-13;1;1;2;190526;187674;39;378200
53;2020-05-13;0;1;1;212098;212015;49;424113
53;2020-05-13;2;0;2;223699;219176;59;442875
53;2020-05-13;0;1;1;227435;209274;69;436709
53;2020-05-13;0;0;0;169992;140910;79;310902
